名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
茴香菜（小茴香）,蔬菜,1,,91.2,27,2.5,0.4,4.2,1.6,0,201,0.06,0.09,0.8,26,0.94,154,23,149,186.3,46,1.2,0.73,0.77,0.04,0.31
扁豆（鲜，月亮菜）,蔬菜,1,扁豆（鲜，月亮菜）_豆角_豆角（白）,88.3,41,2.7,0.2,8.2,2.1,0,13,0.04,0.07,0.9,13,0.24,38,54,178,3.8,34,1.9,0.72,0.94,0.12,0.34
豆角,蔬菜,1,扁豆（鲜，月亮菜）_豆角_豆角（白）,90,34,2.5,0.2,6.7,2.1,0,17,0.05,0.07,0.9,18,2.24,29,55,207,3.4,35,1.5,0.54,2.16,0.15,0.41
豆角（白）,蔬菜,1,扁豆（鲜，月亮菜）_豆角_豆角（白）,89.7,35,2.2,0.2,7.4,2.6,0,48,0.06,0.04,0.9,39,2.38,26,40,192,9.5,28,0.8,0.6,1.6,0.1,0.78
油菜,蔬菜,1,油菜_油菜（黑）_油菜苔,95.6,14,1.3,0.5,2,1.1,0,90,0.02,0.05,0.55,36,0.88,148,23,175,73.7,25,0.9,0.31,0.73,0.03,0.23
油菜（黑）,蔬菜,1,油菜_油菜（黑）_油菜苔,94.1,19,1.8,0.2,2.9,0.9,0,122,0.01,0.1,0,24,0.94,191,34,143,98.8,34,5.9,1.27,0,0,1.09
油菜苔,蔬菜,1,油菜_油菜（黑）_油菜苔,92.4,24,3.2,0.4,3,2,0,45,0.08,0.07,0.8,65,0.89,156,51,192,83.2,27,2.8,9.72,0.82,0.18,0.45
芹菜（白茎，旱芹，药芹）,蔬菜,1,芹菜（白茎，旱芹，药芹）_芹菜（茎）_芹菜（叶）,95.4,13,0.4,0.2,3.1,1,0,2,0.01,0.02,0.22,2,0,15,13,128,166.4,16,0.2,0.14,0.07,0.03,0.04
芹菜（茎）,蔬菜,1,芹菜（白茎，旱芹，药芹）_芹菜（茎）_芹菜（叶）,93.1,22.4,1.2,0.2,4.5,1.2,0,28,0.02,0.06,0.4,8,1.32,80,38,206,159,18,1.2,0.24,9.57,0.09,0.16
芹菜（叶）,蔬菜,1,芹菜（白茎，旱芹，药芹）_芹菜（茎）_芹菜（叶）,89.4,35.4,2.6,0.6,5.9,2.2,0,244,0.08,0.15,0.9,22,2.5,40,64,137,83,58,0.6,1.14,2,0.99,0.54
